fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220927 222254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	208	TRUE	700429	0.0216066996593145	0.609775541611016	2959	688	8418	27010000	1
20220927 222349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	700429	0.0699712171264691	0.576804073243402	2051	415	10755	27210000	2
20220927 222415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	700429	0.0591569413826219	0.668517192937434	5544	647	12509	25310000	3
20220927 222446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	700429	0.0915546126741683	0.513601689049974	1631	606	9326	26630000	4
20220927 222510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	700429	0.0941415181971388	0.634990034862422	7305	734	7368	26470000	5
20220927 222545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	700429	0.0514604042807477	0.753597036479041	4821	460	10326	26550000	6
20220927 222625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	700429	0.0844648769523483	0.686393727539107	1910	228	11013	26540000	7
20220927 222700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	700429	0.11124069123721	0.55128576987423	5681	970	9528	27030000	8
20220927 222720	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	700429	0.104642305596732	0.781270314683206	6422	367	14527	23830000	9
20220927 222842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	286	TRUE	700429	0.0341851299098344	0.718809979474172	5087	869	8829	27230000	10
20220927 222912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	700429	0.0742884326492785	0.591380555401556	6622	342	6598	26170000	11
20220927 223032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	700429	0.0462969313240028	0.497372199636884	3326	844	7813	27260000	12
20220927 223100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	700429	0.126215815514384	0.444348806901835	7034	937	13220	25080000	13
20220927 223136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	120	TRUE	700429	0.136091569937416	0.473160625523888	4255	269	11566	25830000	14
20220927 223155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	700429	0.114917719132325	0.779955979320221	2672	526	5817	25410000	15
20220927 223434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	464	TRUE	700429	0.0286962901352672	0.640803804304451	1060	555	13986	24670000	16
20220927 223713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	376	TRUE	700429	0.0110243717463454	0.53147845805157	7762	797	12378	25490000	17
20220927 223809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	700429	0.142986057028815	0.412018379787915	5956	1016	6436	25290000	18
20220927 224005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	321	TRUE	700429	0.0146358231436461	0.426481630001217	3767	286	5448	24790000	19
20220927 224024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	700429	0.128366943518748	0.724227354121394	4032	762	14053	23820000	20
20220927 224136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205	TRUE	700429	0.0450722848803611	0.51367614245811	3155	929	10124	26880000	21
20220927 224231	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	700429	0.0484340884628832	0.532223274455091	5172	1006	8225	26990000	22
20220927 224336	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	700429	0.0246117697343327	0.746814265918956	3569	829	7811	26940000	23
20220927 224431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	700429	0.0383348690758433	0.496577149545972	3883	297	7797	27210000	24
20220927 224528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	700429	0.0314067656125574	0.576794504117267	6239	718	8993	27060000	25
20220927 224641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	700429	0.0685124019706297	0.542230287815351	1021	835	10708	26990000	26
20220927 224719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	700429	0.064792138102198	0.560559973513981	3573	574	7822	26600000	27
20220927 224847	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	299	TRUE	700429	0.0301484524752227	0.460832746872951	3784	853	8629	26910000	28
20220927 225116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	413	TRUE	700429	0.0141460046411886	0.567666301771733	2377	297	9562	26960000	29
20220927 225318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	700429	0.0223284260797336	0.488938148324111	4113	874	7695	26930000	30
20220927 225352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	700429	0.0637528786465705	0.586435193664303	2156	872	8117	26970000	31
20220927 225444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	700429	0.0510390463752658	0.504024490438657	1763	301	10282	27040000	32
20220927 225546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	231	TRUE	700429	0.0381637488733232	0.590911562401982	4890	274	8685	27110000	33
20220927 225611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	700429	0.0750165595165357	0.64904901044677	6376	881	9482	26720000	34
20220927 225658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	700429	0.039525835010259	0.600115160875007	4576	831	7949	26590000	35
20220927 225814	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	700429	0.0294817555879639	0.494517353643525	1838	322	8176	27650000	36
20220927 230635	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1465	TRUE	700429	0.00587247969507988	0.499566856682365	1008	827	8100	27240000	37
20220927 231117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1509	TRUE	700429	0.00568596007684089	0.713819679849247	7565	378	8497	27090000	38
20220927 231631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	734	TRUE	700429	0.00516890307482874	0.726252345750223	1099	766	8830	27220000	39
20220927 231726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	700429	0.0641315088940067	0.49822791063503	1675	200	8192	27060000	40
20220927 231854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	700429	0.0296155099257404	0.501334665085952	1444	411	8335	27570000	41
20220927 232730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1698	TRUE	700429	0.0056921457645833	0.494697485901218	2103	328	8256	27330000	42
