fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 174619	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5382	1	1	1	0.1	50	0.5	FALSE	700423	0.0136825935835077	0.407254413847113	5147	669	0.00106730029706862	13888	19424000	1
20221029 180815	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	941	1	1	1	0.1	50	0.5	FALSE	700423	0.0880856699449214	0.357497441221494	2259	1167	8.2265463596681e-06	17557	15446000	2
20221029 182856	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	748	1	1	1	0.1	50	0.5	FALSE	700423	0.109004133519775	0.518715498610982	5832	1635	0.00092828216748216	14805	17350000	3
20221029 184222	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	646	1	1	1	0.1	50	0.5	FALSE	700423	0.115195901681873	0.679751613512053	3342	459	0.000145121132538478	14500	17720000	4
20221029 191032	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1251	1	1	1	0.1	50	0.5	FALSE	700423	0.0225095745463477	0.597238849473069	6266	795	0.0110146976509617	14629	18502000	5
20221029 194121	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1234	1	1	1	0.1	50	0.5	FALSE	700423	0.0640848387171718	0.484228739759419	3875	1022	0.000272931626036046	13662	18996000	6
20221029 195425	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	399	1	1	1	0.1	50	0.5	FALSE	700423	0.138599680214174	0.433637191756861	2861	1883	0.000294524170219995	15496	17248000	7
20221029 200020	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	163	1	1	1	0.1	50	0.5	FALSE	700423	0.10003531077833	0.758764065956348	4646	1466	0.0168247131821814	13483	19274000	8
20221029 202838	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	943	1	1	1	0.1	50	0.5	FALSE	700423	0.0723737641737534	0.323838891228661	1241	1993	3.35169150896886e-06	13160	19600000	9
20221029 203845	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	521	1	1	1	0.1	50	0.5	FALSE	700423	0.0863235121975595	0.765288862716989	6743	272	0.0053496380136462	14503	18434000	10
20221029 205702	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1097	1	1	1	0.1	50	0.5	FALSE	700423	0.0452480940160603	0.69947434066562	1691	190	0.000824958920023686	17011	16138000	11
20221029 211451	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	516	1	1	1	0.1	50	0.5	FALSE	700423	0.051428147386614	0.283766988277785	365	624	0.000304728995743167	12676	20248000	12
20221029 212712	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	0.1	50	0.5	FALSE	700423	0.147519529761121	0.240044738774304	7943	1411	0.00166677245807705	14916	17448000	13
20221029 215106	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	716	1	1	1	0.1	50	0.5	FALSE	700423	0.030524867098502	0.557536058244295	4157	1669	0.0130623175309456	12452	20856000	14
20221029 220449	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	565	1	1	1	0.1	50	0.5	FALSE	700423	0.124515317336845	0.646230268472573	597	1050	2.65140020797937e-07	16393	15934000	15
20221029 222315	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1102	1	1	1	0.1	50	0.5	FALSE	700423	0.0358130656617141	0.236519496806432	7193	87	0.0119512807857715	14192	19456000	16
20221030 000152	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3673	1	1	1	0.1	50	0.5	FALSE	700423	0.00514349485400971	0.580331893878965	4409	1544	0.0121716218923041	14905	19070000	17
