fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221021 163112	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	0.1	50	0.5	FALSE	102191	0.0276604453728214	0.629825155014987	1569	638	0.0369640094539039	8947	28906000	1
20221021 163728	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	151	1	1	1	0.1	50	0.5	FALSE	102191	0.0599694604379329	0.436109886920895	328	962	0.0191534132358701	7699	28522000	2
20221021 164241	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	306	1	1	1	0.1	50	0.5	FALSE	102191	0.0438746311667637	0.364041178656044	4642	819	0.0556722138810718	8988	28424000	3
20221021 164711	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	424	1	1	1	0.1	50	0.5	FALSE	102191	0.0679047757350782	0.681850223586662	3460	252	0.0359779012901139	8872	27856000	4
20221021 165647	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	781	1	1	1	0.1	50	0.5	FALSE	102191	0.0142374938413559	0.261169390406576	5294	1733	0.0556021633421693	8600	28560000	5
20221021 170126	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	0.1	50	0.5	FALSE	102191	0.0539649007599655	0.541745849812287	3547	1127	0.0557859058113615	8373	27894000	6
20221021 170544	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	437	1	1	1	0.1	50	0.5	FALSE	102191	0.0749141385249095	0.794136664961115	5937	1469	0.0483975094234376	8391	28498000	7
20221021 170948	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	0.1	50	0.5	FALSE	102191	0.0788955252509913	0.227642496433691	2675	1391	0.0413623327976022	8274	28332000	8
20221021 171745	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	524	1	1	1	0.1	50	0.5	FALSE	102191	0.0221571137886349	0.349242742275237	6313	655	0.0646651637932922	7627	28266000	9
20221021 172622	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	563	1	1	1	0.1	50	0.5	FALSE	102191	0.0377655239337037	0.404820296750404	2417	1819	0.0389923205491806	8246	28308000	10
20221021 172943	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	99	1	1	1	0.1	50	0.5	FALSE	102191	0.0946239199161937	0.477630143606803	4061	341	0.057090286834141	8541	27558000	11
20221021 180316	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2424	1	1	1	0.1	50	0.5	FALSE	102191	0.00548069196214783	0.512222297128756	6704	1592	0.0650276018603768	7447	28466000	12
20221021 180713	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	1	1	1	0.1	50	0.5	FALSE	102191	0.092325451993529	0.692988030033303	614	1964	0.0306607525430256	9680	27360000	13
20221021 181014	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	279	1	1	1	0.1	50	0.5	FALSE	102191	0.0469072592895827	0.7368888394034	7008	119	0.0570990506815267	8338	28284000	14
