fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221022 020150	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1178	1	1	1	0.1	50	0.5	FALSE	102191	0.0671818578627426	0.57451556136657	4333	1231	0.00277159289843905	13707	22026000	1
20221022 020315	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	638	1	1	1	0.1	50	0.5	FALSE	102191	0.0559138620318845	0.321379339168197	3678	1785	0.010238941910466	13593	23054000	2
20221022 020939	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3112	1	1	1	0.1	50	0.5	FALSE	102191	0.013552673411541	0.25245430652285	1929	217	0.00180315715668644	12562	23676000	3
20221022 021131	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	801	1	1	1	0.1	50	0.5	FALSE	102191	0.0845678835405852	0.590100837993669	1470	1296	2.71707058878371e-05	13066	22508000	4
20221022 021237	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	552	1	1	1	0.1	50	0.5	FALSE	102191	0.039670903836668	0.377551249900716	5418	33	0.0167530621871979	14710	23380000	5
20221022 021322	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	498	1	1	1	0.1	50	0.5	FALSE	102191	0.0599109663884883	0.676665678544669	6319	1997	0.0137005564387228	15719	22722000	6
20221022 022343	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4800	1	1	1	0.1	50	0.5	FALSE	102191	0.00581424701129436	0.421649124834221	986	1074	0.000600521749445326	13710	23460000	7
20221022 022538	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1085	1	1	1	0.1	50	0.5	FALSE	102191	0.0934118908416713	0.508738693251507	6713	1438	0.00388683603817133	15346	20268000	8
20221022 022709	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	561	1	1	1	0.1	50	0.5	FALSE	102191	0.075418796800077	0.738367588041001	83	570	5.47914507530481e-07	13893	21814000	9
20221022 023004	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1835	1	1	1	0.1	50	0.5	FALSE	102191	0.0280084980037645	0.463612191405264	7454	1562	0.0123192608552882	15425	22190000	10
